id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
8,31,109,182,496,193,507,187,501,11.783988514976622,11.783988514976622,36174.0,35508.20183486238,34757.0
9,31,109,185,457,196,468,190,462,11.783988514976622,11.783988514976622,36320.0,35534.30275229358,34070.0
12,31,307,19,180,39,204,28,192,29.130952460619937,14.036061077699424,33609.0,33483.42996742671,33284.0
18,31,214,60,247,72,267,65,256,21.8942730676202,12.610537020450703,33442.0,33347.154205607476,33147.0
19,31,258,56,222,75,239,65,230,21.00707121286959,15.76882895744572,33414.0,33310.558139534885,33174.0
24,31,406,24,668,43,693,33,680,26.727469182592877,19.506869982750054,33842.0,33695.48275862069,33520.0
28,31,373,138,346,160,368,149,357,26.38788714970418,18.502693129956516,33422.0,33330.21715817694,33221.0
29,31,336,90,348,110,370,99,358,24.47568741666848,17.792122733873768,33365.0,33292.22023809524,33208.0
32,31,316,129,406,147,428,138,416,23.883753736529723,16.918256986288046,33908.0,33748.63607594937,33533.0
33,31,314,168,374,181,400,174,386,28.22881935253787,14.34071305603086,33937.0,33768.71974522293,33546.0
41,31,481,128,497,158,518,143,506,33.35723809798787,19.15938533381577,35405.0,34825.3762993763,33501.0
50,31,418,358,231,383,251,370,240,26.76977115173633,20.007464951405332,34367.0,33839.41387559809,33235.0
53,31,238,317,238,332,258,324,247,22.147268937641414,13.99355212697768,33924.0,33692.59243697479,33346.0
54,31,193,327,278,342,293,334,285,15.675465136763439,15.675465136763439,33800.0,33630.40932642487,33485.0
58,31,222,278,283,294,300,286,290,19.938784723268277,14.849457388726478,33205.0,33161.752252252256,33120.0
59,31,142,261,215,270,234,264,225,21.75138813252286,8.82854306384158,33257.0,33193.042253521126,33137.0
65,31,193,261,338,276,353,268,345,15.675465136763439,15.675465136763439,33172.0,33138.55440414508,33106.0
66,31,234,302,356,318,376,310,366,23.00339628575688,13.073526795817173,33193.0,33148.96581196581,33071.0
78,31,249,203,766,220,783,211,774,17.809342794248536,17.809342794248536,34076.0,33884.80722891566,33671.0
79,31,249,160,786,177,803,168,794,17.809342794248536,17.809342794248536,34053.0,33859.530120481926,33676.0
88,31,285,216,807,235,827,225,816,23.33133557644403,15.630167173263722,34400.0,34078.31929824562,33452.0
89,31,339,189,846,216,862,202,853,30.48375203242309,14.987685504958376,33959.0,33738.811209439526,33403.0
94,31,514,171,937,196,965,184,951,32.338814135037126,20.602793719057637,34464.0,34143.7392996109,33483.0
100,31,45,248,978,255,985,251,981,7.542472332656507,7.542472332656507,36863.0,36024.62222222222,34656.0
101,31,45,220,980,227,987,223,983,7.542472332656507,7.542472332656507,36642.0,36048.73333333333,34736.0
104,31,208,240,885,256,900,248,892,16.779107888635245,15.796786430741587,33219.0,33168.44711538462,33119.0
105,31,223,200,931,210,957,205,944,28.65196966940268,10.163767090116192,33267.0,33207.28251121076,33119.0
114,31,193,260,920,275,935,267,927,15.675465136763439,15.675465136763439,33196.0,33165.39896373057,33129.0
115,31,297,222,938,238,964,229,950,29.283319966968644,13.650229858014644,33218.0,33167.01683501683,33088.0
127,31,145,414,94,427,107,420,100,13.57482456862576,13.57482456862576,34363.0,33990.027586206896,33636.0
128,31,221,422,45,439,62,430,53,20.69573424737632,13.758686591107745,34125.0,33825.25791855204,33580.0
135,31,283,462,119,485,135,474,126,26.14695369542233,14.422871273631348,33999.0,33712.97879858657,33433.0
136,31,208,428,134,448,145,438,139,22.020969027794326,12.20340431695504,34305.0,34033.543269230766,33542.0
139,31,249,483,60,500,77,491,68,17.809342794248536,17.809342794248536,34022.0,33809.48995983936,33606.0
140,31,232,463,42,481,59,472,50,21.524623866657098,14.008342901543047,34026.0,33801.96551724138,33580.0
143,31,249,532,127,549,144,540,135,17.809342794248536,17.809342794248536,34558.0,34246.610441767065,33712.0
144,31,282,535,89,556,108,545,98,25.212021175698982,14.416473163085001,34180.0,33952.17375886525,33719.0
153,31,249,584,135,601,152,592,143,17.809342794248536,17.809342794248536,33854.0,33658.1124497992,33395.0
