id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
8,36,247,177,483,190,505,182,493,23.73229055509253,13.472952143448316,34933.0,34521.23481781376,33815.0
9,36,227,146,457,162,474,154,465,19.341728991953897,15.05433326773632,34858.0,34472.21585903084,34036.0
12,36,307,28,188,45,213,36,200,27.981522648508452,14.25241694056307,33714.0,33556.905537459286,33391.0
18,36,234,62,251,80,268,71,259,21.393018739407392,14.038724029364058,33384.0,33325.12393162393,33233.0
19,36,156,66,200,78,216,71,208,17.565857453609013,11.68080944890741,33429.0,33375.916666666664,33285.0
24,36,391,28,651,48,674,38,662,24.88882414672832,20.126853407681722,34321.0,33935.92071611253,33528.0
28,36,352,140,343,161,368,150,354,30.234614105707244,15.361756217758582,33472.0,33372.67897727273,33251.0
29,36,350,92,350,110,374,100,362,25.785832120120723,17.33055119521861,33359.0,33293.897142857146,33218.0
32,36,445,119,404,142,430,130,416,29.665538360732132,19.41221852107801,33926.0,33706.316853932585,33398.0
33,36,275,168,375,181,398,174,386,24.81055493864731,14.249720890408536,34011.0,33822.494545454545,33624.0
43,36,194,152,517,172,531,162,523,22.62841339786414,11.179269075309186,35524.0,34990.76804123711,33683.0
44,36,145,117,494,130,507,123,500,13.57482456862576,13.57482456862576,35796.0,35241.24827586207,34574.0
50,36,462,374,239,402,259,387,249,30.04069048618186,19.73181378679029,34097.0,33787.85930735931,33425.0
53,36,203,316,243,328,262,321,252,20.7418766633135,12.60051102504872,33817.0,33651.87684729064,33480.0
54,36,249,327,279,344,296,335,287,17.809342794248536,17.809342794248536,33777.0,33592.93574297189,33473.0
58,36,252,278,271,289,295,283,282,26.60826939130014,12.282391577259816,33208.0,33159.50396825397,33072.0
59,36,248,257,217,269,240,263,228,25.20440215479338,12.673964301849105,33229.0,33168.842741935485,33090.0
65,36,193,261,341,276,356,268,348,15.675465136763439,15.675465136763439,33158.0,33128.544041450776,33102.0
66,36,264,314,347,329,370,321,358,25.556178579759788,13.303788234741088,33182.0,33147.90151515151,33115.0
78,36,305,210,770,229,789,219,779,19.710694442607448,19.710694442607448,34093.0,33890.64590163934,33490.0
79,36,249,164,787,181,804,172,795,17.809342794248536,17.809342794248536,34064.0,33897.79919678715,33667.0
88,36,252,213,813,233,829,222,821,22.696763591059064,14.654457274386479,34493.0,34218.64682539683,33601.0
89,36,381,191,848,219,867,204,856,31.279241570290367,15.9654593985127,33974.0,33757.14173228347,33487.0
96,36,69,172,966,181,975,176,970,9.337473201948237,9.337473201948237,34897.0,34640.55072463768,34104.0
97,36,145,181,934,194,947,187,940,13.57482456862576,13.57482456862576,35039.0,34399.42068965517,33399.0
100,36,131,247,975,258,990,252,982,16.144001602133404,10.338181702746096,34535.0,34308.900763358775,34010.0
101,36,69,225,984,234,993,229,988,9.337473201948237,9.337473201948237,35508.0,35170.260869565216,34617.0
104,36,305,245,884,264,903,254,893,19.710694442607448,19.710694442607448,33230.0,33185.255737704916,33139.0
105,36,269,198,929,216,956,207,942,31.78053633975117,11.149467899002326,33231.0,33187.944237918215,33135.0
114,36,320,257,922,277,944,267,933,25.523703745659077,16.032713146995075,33210.0,33168.325,33120.0
115,36,279,223,943,241,965,232,954,25.629862129226723,14.27497664745022,33210.0,33176.021505376346,33112.0
127,36,193,412,104,427,119,419,111,15.675465136763439,15.675465136763439,33906.0,33727.9067357513,33559.0
128,36,232,420,49,437,65,428,57,19.252142051223675,15.47630912577377,34241.0,33827.35344827586,33434.0
135,36,342,457,109,482,127,469,117,27.894485533488215,15.95221521094167,33931.0,33676.79532163743,33340.0
136,36,211,442,135,459,151,450,143,19.989117511728832,13.463852493110203,34368.0,34042.345971563984,33387.0
139,36,305,484,66,503,85,493,75,19.710694442607448,19.710694442607448,33929.0,33713.285245901636,33501.0
140,36,280,464,44,484,63,474,53,23.448453154957026,15.266745364600174,33935.0,33767.99642857143,33582.0
143,36,223,526,131,541,148,533,139,17.88854381999832,15.90103925305998,35079.0,34648.20179372197,33919.0
144,36,345,540,95,559,118,549,106,25.26741517287853,17.46268656715809,34429.0,33986.43768115942,33140.0
153,36,193,591,131,606,146,598,138,15.675465136763439,15.675465136763439,34048.0,33872.20207253886,33649.0
154,36,267,521,170,541,187,531,178,22.082876305386304,15.49540044022286,34015.0,33812.58052434457,33440.0
163,36,193,608,181,623,196,615,188,15.675465136763439,15.675465136763439,33601.0,33487.29533678757,33363.0
164,36,193,578,215,593,230,585,222,15.675465136763439,15.675465136763439,33661.0,33507.91191709845,33344.0
171,36,109,592,50,603,61,597,55,11.783988514976622,11.783988514976622,33112.0,33088.51376146789,33065.0
172,36,158,538,30,552,43,544,36,14.677977993398258,13.694681588027827,33144.0,33106.037974683546,33076.0
179,36,158,494,220,507,234,500,226,14.677977993398258,13.694681588027827,33528.0,33451.10759493671,33328.0
180,36,145,481,267,494,280,487,273,13.57482456862576,13.57482456862576,33627.0,33437.1724137931,33158.0
186,36,69,434,174,443,183,438,178,9.337473201948237,9.337473201948237,33097.0,33080.17391304348,33062.0
190,36,145,488,153,501,166,494,159,13.57482456862576,13.57482456862576,33122.0,33099.23448275862,33067.0
197,36,69,448,391,457,400,452,395,9.337473201948237,9.337473201948237,34221.0,33950.391304347824,33656.0
199,36,69,423,370,432,379,427,374,9.337473201948237,9.337473201948237,34123.0,33898.985507246376,33421.0
202,36,45,453,353,460,360,456,356,7.542472332656507,7.542472332656507,34615.0,34295.64444444444,33819.0
203,36,45,431,338,438,345,434,341,7.542472332656507,7.542472332656507,34463.0,34207.2,33854.0
207,36,266,424,485,442,502,432,493,18.912541091199664,17.928848513570426,33516.0,33442.62781954887,33247.0
220,36,193,464,494,479,509,471,501,15.675465136763439,15.675465136763439,33545.0,33467.025906735755,33395.0
227,36,145,451,545,464,558,457,551,13.57482456862576,13.57482456862576,33575.0,33489.137931034486,33416.0
228,36,249,408,539,425,556,416,547,17.809342794248536,17.809342794248536,33521.0,33433.28514056225,33346.0
259,36,193,542,916,557,931,549,923,15.675465136763439,15.675465136763439,33847.0,33711.17098445596,33550.0
260,36,193,519,956,534,971,526,963,15.675465136763439,15.675465136763439,33986.0,33802.52331606218,33578.0
272,36,45,575,956,582,963,578,959,7.542472332656507,7.542472332656507,33686.0,33609.555555555555,33522.0
273,36,145,541,980,554,993,547,986,13.57482456862576,13.57482456862576,33618.0,33518.30344827586,33365.0
286,36,145,371,1041,384,1054,377,1047,13.57482456862576,13.57482456862576,34113.0,33905.0,33669.0
287,36,193,401,1000,416,1015,408,1007,15.675465136763439,15.675465136763439,34043.0,33837.673575129535,33560.0
290,36,145,390,1061,403,1074,396,1067,13.57482456862576,13.57482456862576,34287.0,34055.11034482758,33573.0
291,36,145,419,1049,432,1062,425,1055,13.57482456862576,13.57482456862576,34069.0,33950.0,33645.0
307,36,109,376,786,387,797,381,791,11.783988514976622,11.783988514976622,33227.0,33197.66055045871,33173.0
308,36,145,342,799,355,812,348,805,13.57482456862576,13.57482456862576,33234.0,33191.28965517241,33155.0
317,36,109,388,750,399,761,393,755,11.783988514976622,11.783988514976622,33140.0,33109.01834862385,33085.0
318,36,109,339,753,350,764,344,758,11.783988514976622,11.783988514976622,33132.0,33101.1376146789,33062.0
328,36,193,632,321,647,336,639,328,15.675465136763439,15.675465136763439,34407.0,34114.0518134715,33934.0
329,36,145,647,414,660,427,653,420,13.57482456862576,13.57482456862576,34435.0,34191.2275862069,33798.0
336,36,249,609,372,626,389,617,380,17.809342794248536,17.809342794248536,33817.0,33672.73895582329,33383.0
355,36,120,652,276,664,287,658,281,12.909944487358056,11.865917579353061,33444.0,33387.45,33330.0
356,36,109,662,256,673,267,667,261,11.783988514976622,11.783988514976622,33478.0,33400.77064220184,33301.0
363,36,69,485,889,494,898,489,893,9.337473201948237,9.337473201948237,33127.0,33094.68115942029,33069.0
366,36,69,518,890,527,899,522,894,9.337473201948237,9.337473201948237,33121.0,33095.85507246377,33071.0
370,36,145,17,670,30,683,23,676,13.57482456862576,13.57482456862576,34207.0,33871.93793103448,33603.0
383,36,69,20,231,29,240,24,235,9.337473201948237,9.337473201948237,33375.0,33274.666666666664,33106.0
