id,area,major_axis_length,minor_axis_length,mean_intensity,frame
1,0.3917525773195876,0.4897825454035245,0.6461174672876258,0.32137076768290385,0
10,0.03711340206185567,0.08377195725012453,0.18395821582984415,0.0747162784160782,0
12,0.21030927835051547,0.36511398816087326,0.38839395454970926,0.06281192301202054,0
16,0.24742268041237117,0.2848893773941253,0.6041423862798595,0.06871715808104462,0
22,0.4845360824742268,0.516439930340768,0.7283681013456669,0.22260227323490334,0
25,0.3154639175257732,0.39865194012407684,0.5742842741223037,0.10195572554590093,0
30,0.3051546391752577,0.32213489828922304,0.681957516809477,0.20430632427117779,0
41,0.39484536082474225,0.47680261122988843,0.6202546561802504,0.3241449631396769,0
50,0.24742268041237117,0.2848893773941253,0.6041423862798595,0.21635101595376938,0
51,0.411340206185567,0.4286837966497535,0.7216811926831007,0.21249369622414171,0
55,0.24123711340206186,0.3547473797396899,0.48448822194147534,0.02194512655611547,0
63,0.2742268041237113,0.45319669597308954,0.4329286691069122,0.02405396858859632,0
76,0.18969072164948456,0.24308891142138345,0.516810845796669,0.25905151909539725,0
86,0.24742268041237117,0.2848893773941253,0.6041423862798595,0.31858243557131516,0
94,0.1402061855670103,0.2019395258034249,0.43083957365112446,0.27673804080356845,0
98,0.18969072164948456,0.24308891142138345,0.516810845796669,0.2639368516830505,0
102,0.10309278350515465,0.16685889160645573,0.3575474283543133,0.04633380492668415,0
112,0.18969072164948456,0.24308891142138345,0.516810845796669,0.048153431666239754,0
125,0.4505154639175258,0.4719932218354256,0.7273747561594274,0.16602244468593064,0
133,0.4216494845360825,0.47983404902433535,0.6646258913504608,0.2052969235665234,0
137,0.32989690721649484,0.4036433566502103,0.5974750207900473,0.18274663489279774,0
141,0.3051546391752577,0.32213489828922304,0.681957516809477,0.23908039819805182,0
151,0.3051546391752577,0.32213489828922304,0.681957516809477,0.20562564475632783,0
161,0.18969072164948456,0.24308891142138345,0.516810845796669,0.20780604601551822,0
169,0.18969072164948456,0.24308891142138345,0.516810845796669,0.010220421618674536,0
177,0.24742268041237117,0.2848893773941253,0.6041423862798595,0.004567865644087732,0
186,0.1402061855670103,0.2019395258034249,0.43083957365112446,0.0,0
189,0.06185567010309278,0.11893417589685827,0.2574208112762316,0.26181212123989717,0
197,0.18969072164948456,0.24308891142138345,0.516810845796669,0.13998621511520248,0
200,0.10309278350515465,0.16685889160645573,0.3575474283543133,0.24354234621398874,0
