id,frame_num,area,min_row_bb,min_col_bb,max_row_bb,max_col_bb,centroid_row,centroid_col,major_axis_length,minor_axis_length,max_intensity,mean_intensity,min_intensity
1,21,343,159,459,186,475,172,467,29.71981649711441,15.008818494397874,35149.0,34575.533527696796,34183.0
12,21,339,18,174,40,199,28,186,31.260141755709757,14.101343231000014,33562.0,33424.76991150442,33180.0
16,21,434,47,230,72,251,59,240,27.329314369154545,20.391832507885955,33492.0,33379.69124423963,33283.0
24,21,419,26,664,43,691,34,677,29.014686430144614,18.554956108311984,33875.0,33667.43675417661,33346.0
28,21,309,138,355,161,375,149,364,27.88148039304116,14.609895188342302,33376.0,33303.705501618126,33179.0
29,21,230,103,339,122,353,112,346,20.915863399397654,14.297818135552069,33424.0,33339.01739130435,33271.0
32,21,356,135,408,155,431,144,419,25.56735336623507,17.83862068841029,34018.0,33752.3202247191,33486.0
33,21,265,172,381,189,400,179,391,20.90086327339883,16.34693445736175,33920.0,33716.558490566036,33489.0
41,21,417,134,500,163,517,148,508,31.184799193686374,17.15991654118099,35148.0,34661.85131894484,33874.0
50,21,377,318,225,342,243,330,233,25.465684141898027,18.917085977709053,34315.0,33917.2625994695,33586.0
53,21,190,318,249,334,263,325,256,17.792408677187748,13.704913472828975,34358.0,33964.71578947368,33484.0
54,21,179,325,277,341,290,333,283,17.530265142573718,13.075511798776928,34193.0,33864.30167597765,33596.0
55,21,321,271,254,287,279,278,266,27.002854488239194,15.258981401045839,33276.0,33210.85669781931,33147.0
63,21,69,295,346,304,355,299,350,9.337473201948237,9.337473201948237,33477.0,33286.985507246376,33198.0
78,21,192,199,781,214,796,206,788,17.301233307858535,14.251957089752885,34222.0,34002.302083333336,33805.0
79,21,233,162,784,178,804,170,794,23.052531950144203,13.054632418394641,34320.0,34024.643776824036,33573.0
88,21,218,196,809,216,821,205,814,21.720197754826447,12.925548643695464,34513.0,34143.99541284404,33484.0
89,21,314,201,843,225,861,212,850,27.304037117286747,15.819252067312833,34356.0,33932.6847133758,33273.0
94,21,305,175,945,194,964,184,954,19.710694442607448,19.710694442607448,34366.0,34085.904918032786,33599.0
98,21,398,223,971,247,991,235,981,25.86769672645701,19.704560519690002,34639.0,34188.22361809045,33751.0
104,21,198,238,891,253,907,245,898,17.301195787954857,14.559593250499288,33236.0,33187.343434343435,33134.0
105,21,227,205,930,214,957,209,943,29.991738141861237,9.905278261862911,33228.0,33179.35242290749,33091.0
114,21,192,263,908,275,926,268,916,19.642392318203765,12.598801904722388,33242.0,33189.880208333336,33133.0
115,21,249,224,943,244,960,233,950,23.358219356195036,13.983629449019574,33235.0,33185.72289156626,33099.0
